Date,Price,Open,High,Low,Vol.,Change %
Jan 22,"4,693.30","4,781.00","4,817.88","4,662.75",-,-1.53%
Oct 21,"4,605.38","4,324.71","4,608.70","4,278.70",-,6.91%
Jul 21,"4,395.26","4,304.10","4,430.20","4,232.80",-,2.27%
Apr 21,"4,181.17","3,992.78","4,218.78","3,992.78",-,5.24%
Jan 21,"3,714.24","3,764.61","3,870.90","3,662.71",-,-1.11%
Oct 20,"3,269.96","3,385.87","3,549.85","3,233.94",-,-2.77%
Jul 20,"3,271.12","3,105.92","3,279.99","3,101.17",-,5.51%
Apr 20,"2,912.43","2,498.08","2,954.86","2,447.49",-,12.68%
Jan 20,"3,225.52","3,244.67","3,337.77","3,214.64",-,-0.16%
Oct 19,"3,037.56","2,983.69","3,050.10","2,855.94",-,2.04%
Jul 19,"2,980.38","2,971.41","3,027.98","2,952.22",-,1.31%
Apr 19,"2,945.83","2,848.63","2,949.52","2,848.63",-,3.93%
Jan 19,"2,704.10","2,476.96","2,708.95","2,443.96",-,7.87%
Oct 18,"2,711.74","2,926.29","2,939.86","2,603.54",-,-6.94%
Jul 18,"2,816.29","2,704.95","2,848.03","2,698.95",-,3.60%
Apr 18,"2,648.05","2,633.45","2,717.49","2,553.80",-,0.27%
Jan 18,"2,823.81","2,683.73","2,872.87","2,682.36",-,5.62%
Oct 17,"2,575.26","2,521.20","2,582.98","2,520.40",-,2.22%
Jul 17,"2,470.30","2,431.39","2,484.04","2,407.70",-,1.93%
Apr 17,"2,384.20","2,362.34","2,398.16","2,328.95",-,0.91%
Jan 17,"2,278.87","2,251.57","2,300.99","2,245.13",-,1.79%
Oct 16,"2,126.15","2,164.33","2,169.60","2,114.72",-,-1.94%
Jul 16,"2,173.60","2,099.34","2,177.09","2,074.02",-,3.56%
Apr 16,"2,065.30","2,056.62","2,111.05","2,033.80",-,0.27%
Jan 16,"1,940.24","2,038.20","2,038.20","1,812.29",-,-5.07%
Oct 15,"2,079.36","1,919.65","2,094.32","1,893.70",-,8.30%
Jul 15,"2,103.84","2,067.00","2,132.82","2,044.02",-,1.97%
Apr 15,"2,085.51","2,067.63","2,125.92","2,048.38",-,0.85%
Jan 15,"1,994.99","2,058.90","2,072.36","1,988.12",-,-3.10%
Oct 14,"2,018.05","1,971.44","2,018.19","1,820.66",-,2.32%
Jul 14,"1,930.67","1,962.29","1,991.39","1,930.67",-,-1.51%
Apr 14,"1,883.95","1,873.96","1,897.28","1,814.36",-,0.62%
Jan 14,"1,782.59","1,845.86","1,850.84","1,770.45",-,-3.56%
Oct 13,"1,756.54","1,682.41","1,775.22","1,646.47",-,4.46%
Jul 13,"1,685.73","1,609.78","1,698.78","1,604.57",-,4.95%
Apr 13,"1,597.57","1,569.18","1,597.57","1,536.03",-,1.81%
Jan 13,"1,498.11","1,426.19","1,509.94","1,426.19",-,5.04%
Oct 12,"1,412.16","1,440.90","1,470.96","1,403.28",-,-1.98%
Jul 12,"1,379.32","1,362.33","1,391.74","1,325.41",-,1.26%
Apr 12,"1,397.91","1,408.47","1,422.38","1,357.38",-,-0.75%
Jan 12,"1,312.41","1,258.86","1,333.47","1,258.86",-,4.36%
Oct 11,"1,253.30","1,131.21","1,292.66","1,074.77",-,10.77%
Jul 11,"1,292.28","1,320.64","1,356.48","1,282.86",-,-2.15%
Apr 11,"1,363.61","1,329.48","1,364.56","1,294.70",-,2.85%
Jan 11,"1,286.12","1,257.62","1,302.67","1,257.62",-,2.26%
Oct 10,"1,183.26","1,143.49","1,196.14","1,131.87",-,3.69%
Jul 10,"1,101.60","1,031.10","1,120.95","1,010.91",-,6.88%
Apr 10,"1,186.69","1,171.23","1,219.80","1,170.69",-,1.48%
Jan 10,"1,073.87","1,116.56","1,150.45","1,071.59",-,-3.70%
Oct 09,"1,036.19","1,054.91","1,101.36","1,019.95",-,-1.98%
Jul 09,987.48,920.82,996.68,869.32,-,7.41%
Apr 09,872.81,793.59,888.70,783.32,-,9.39%
Jan 09,825.88,902.99,943.85,804.30,-,-8.57%
Oct 08,968.75,"1,164.17","1,167.03",839.80,-,-16.94%
Jul 08,"1,267.38","1,276.69","1,292.17","1,200.44",-,-0.99%
Apr 08,"1,385.59","1,326.41","1,404.57","1,324.35",-,4.75%
Jan 08,"1,378.55","1,467.97","1,471.77","1,270.05",-,-6.12%
Oct 07,"1,549.38","1,527.29","1,576.09","1,489.56",-,1.48%
Jul 07,"1,455.27","1,504.66","1,555.90","1,454.25",-,-3.20%
Apr 07,"1,482.37","1,420.83","1,498.02","1,416.37",-,4.33%
Jan 07,"1,438.24","1,418.03","1,441.61","1,403.97",-,1.41%
Oct 06,"1,377.94","1,335.82","1,389.45","1,327.10",-,3.15%
Jul 06,"1,276.66","1,270.06","1,280.42","1,224.54",-,0.51%
Apr 06,"1,310.61","1,302.88","1,318.16","1,280.74",-,1.22%
Jan 06,"1,280.08","1,248.29","1,294.90","1,245.74",-,2.55%
Oct 05,"1,207.01","1,228.81","1,233.34","1,168.20",-,-1.77%
Jul 05,"1,234.18","1,191.33","1,245.15","1,183.55",-,3.60%
Apr 05,"1,156.85","1,180.59","1,191.88","1,136.15",-,-2.01%
Jan 05,"1,181.27","1,211.92","1,217.90","1,163.75",-,-2.53%
Oct 04,"1,130.20","1,114.58","1,142.05","1,090.19",-,1.40%
Jul 04,"1,101.72","1,140.84","1,140.84","1,078.78",-,-3.43%
Apr 04,"1,107.30","1,126.21","1,150.57","1,107.23",-,-1.68%
Jan 04,"1,131.13","1,111.92","1,155.38","1,105.08",-,1.73%
Oct 03,"1,050.71",995.97,"1,053.79",995.97,-,5.50%
Jul 03,993.32,974.50,"1,015.41",962.10,-,1.93%
Apr 03,916.92,848.18,924.24,847.85,-,8.10%
Jan 03,855.70,879.82,935.05,840.34,-,-2.74%
Oct 02,885.76,815.28,907.44,768.63,-,8.64%
Jul 02,911.62,989.82,994.46,775.68,-,-7.90%
Apr 02,"1,076.92","1,147.39","1,147.84","1,063.46",-,-6.14%
Jan 02,"1,130.20","1,148.08","1,176.97","1,081.66",-,-1.56%
Oct 01,"1,059.78","1,040.94","1,110.61","1,026.76",-,1.81%
Jul 01,"1,211.23","1,224.42","1,239.78","1,165.54",-,-1.07%
Apr 01,"1,249.46","1,160.33","1,269.30","1,091.99",-,7.68%
Jan 01,"1,366.01","1,320.28","1,383.37","1,274.62",-,3.46%
Oct 00,"1,429.40","1,436.52","1,454.82","1,305.79",-,-0.49%
Jul 00,"1,430.83","1,454.60","1,517.32","1,413.89",-,-1.63%
Apr 00,"1,452.43","1,498.58","1,527.19","1,339.40",-,-3.08%
Jan 00,"1,394.46","1,469.25","1,478.00","1,350.14",-,-5.09%
Oct 99,"1,362.93","1,282.71","1,373.17","1,233.70",-,6.25%
Jul 99,"1,328.72","1,372.71","1,420.33","1,328.49",-,-3.20%
Apr 99,"1,335.18","1,286.37","1,371.56","1,282.56",-,3.79%
Jan 99,"1,279.64","1,229.23","1,280.37","1,205.46",-,4.10%
Oct 98,"1,098.67","1,017.01","1,103.78",923.32,-,8.03%
Jul 98,"1,120.67","1,133.84","1,190.58","1,114.30",-,-1.16%
Apr 98,"1,111.75","1,101.75","1,132.98","1,076.70",-,0.91%
Jan 98,980.28,970.43,992.65,912.83,-,1.02%
Oct 97,914.62,947.28,983.12,855.27,-,-3.45%
Jul 97,954.31,885.14,957.73,884.54,-,7.81%
Apr 97,801.34,757.12,804.13,733.54,-,5.84%
Jan 97,786.16,740.74,794.67,729.55,-,6.13%
Oct 96,705.27,687.31,714.10,684.44,-,2.61%
Jul 96,639.95,670.63,675.88,605.88,-,-4.57%
Apr 96,654.17,645.50,656.68,624.14,-,1.34%
Jan 96,636.02,615.93,636.18,597.29,-,3.26%
Oct 95,581.50,584.41,590.66,571.55,-,-0.50%
Jul 95,562.06,544.75,565.40,542.51,-,3.18%
Apr 95,514.71,500.70,515.29,500.20,-,2.80%
Jan 95,470.42,459.21,471.36,457.20,-,2.43%
Oct 94,472.35,462.69,474.74,449.27,-,2.08%
Jul 94,458.26,444.27,459.33,443.58,-,3.15%
Apr 94,450.91,445.66,452.79,435.86,-,1.15%
Jan 94,481.61,466.51,482.85,464.36,-,3.25%
Oct 93,467.83,458.93,471.10,456.40,-,1.94%
Jul 93,448.13,450.54,451.15,441.40,-,-0.53%
Apr 93,440.19,451.67,452.63,432.30,-,-2.54%
Jan 93,438.78,435.70,442.66,426.88,-,0.70%
Oct 92,418.68,417.80,421.16,396.80,-,0.21%
Jul 92,424.21,408.20,424.80,407.20,-,3.94%
Apr 92,414.95,403.67,416.28,392.41,-,2.79%
Jan 92,408.78,417.03,421.18,408.64,-,-1.99%
Oct 91,392.45,387.86,393.81,376.11,-,1.18%
Jul 91,387.81,371.18,387.81,370.92,-,4.49%
Apr 91,375.34,375.22,391.26,370.27,-,0.03%
Jan 91,343.93,330.20,343.93,309.35,-,4.15%
Oct 90,304.00,306.10,319.69,294.51,-,-0.67%
Jul 90,356.15,358.02,369.78,350.09,-,-0.52%
Apr 90,330.80,339.94,347.30,327.76,-,-2.69%
Jan 90,329.08,353.40,360.59,319.83,-,-6.88%
Oct 89,340.36,349.15,360.44,327.12,-,-2.52%
Jul 89,346.08,317.98,346.08,317.26,-,8.84%
Apr 89,309.64,294.87,310.45,294.35,-,5.01%
Jan 89,297.47,277.72,297.51,273.81,-,7.11%
Oct 88,278.97,271.89,283.95,268.84,-,2.60%
Jul 88,272.02,273.50,276.36,262.48,-,-0.54%
Apr 88,261.33,258.89,272.05,254.71,-,0.94%
Jan 88,257.07,247.10,261.78,240.17,-,4.04%
Oct 87,251.79,321.83,328.94,216.46,-,-21.76%
Jul 87,318.66,303.99,318.85,302.53,-,4.82%
Apr 87,288.36,291.59,303.65,275.67,-,-1.15%
Jan 87,274.08,242.17,280.96,242.17,-,13.18%
Oct 86,243.98,231.32,244.51,231.32,-,5.47%
Jul 86,236.12,250.67,253.20,233.07,-,-5.87%
Apr 86,235.52,238.90,245.47,226.30,-,-1.41%
Jan 86,211.78,211.28,214.57,202.60,-,0.24%
Oct 85,189.82,182.06,190.15,181.16,-,4.25%
Jul 85,190.92,191.85,196.07,189.30,-,-0.48%
Apr 85,179.83,180.66,183.61,177.86,-,-0.46%
Jan 85,179.63,167.20,180.27,163.36,-,7.41%
Oct 84,166.09,166.10,169.62,160.02,-,-0.01%
Jul 84,150.66,153.16,153.87,147.26,-,-1.65%
Apr 84,160.05,159.18,160.69,154.12,-,0.55%
Jan 84,163.41,164.93,169.54,162.03,-,-0.92%
Oct 83,163.55,165.99,172.65,162.86,-,-1.52%
Jul 83,162.56,168.11,170.72,161.50,-,-3.03%
Apr 83,164.43,152.92,164.43,150.17,-,7.50%
Jan 83,145.30,140.65,148.36,138.08,-,3.31%
Oct 82,133.72,120.40,140.40,120.15,-,11.04%
Jul 82,107.09,109.52,112.39,105.57,-,-2.30%
Apr 82,116.44,111.96,119.33,111.48,-,4.00%
Jan 82,120.40,122.55,123.72,113.63,-,-1.75%
Oct 81,121.89,116.18,123.28,115.00,-,4.91%
Jul 81,130.92,130.01,131.78,125.96,-,-0.22%
Apr 81,132.81,136.00,137.72,131.58,-,-2.35%
Jan 81,129.55,135.76,140.32,128.57,-,-4.57%
Oct 80,127.47,125.46,135.88,124.66,-,1.60%
Jul 80,121.67,114.24,123.93,113.54,-,6.50%
Apr 80,106.29,102.09,106.79,98.95,-,4.11%
Jan 80,114.16,107.94,117.17,103.26,-,5.76%
Oct 79,101.82,109.19,112.16,99.06,-,-6.86%
Jul 79,103.81,102.91,105.17,100.35,-,0.87%
Apr 79,101.76,101.56,103.95,100.14,-,0.17%
Jan 79,99.93,96.11,102.59,95.22,-,3.97%
Oct 78,93.15,102.54,106.23,91.65,-,-9.16%
Jul 78,100.68,95.53,101.18,93.59,-,5.39%
Apr 78,96.83,89.20,97.91,88.07,-,8.54%
Jan 78,89.25,95.10,95.15,88.02,-,-6.15%
Oct 77,92.34,96.53,97.27,90.20,-,-4.34%
Jul 77,98.85,100.48,102.57,97.71,-,-1.62%
Apr 77,98.44,98.42,102.07,96.53,-,0.02%
Jan 77,102.03,107.46,107.97,100.91,-,-5.05%
Oct 76,102.90,105.24,105.75,99.21,-,-2.22%
Jul 76,103.44,104.28,106.78,102.31,-,-0.81%
Apr 76,101.64,102.77,104.63,99.57,-,-1.10%
Jan 76,100.86,100.11,101.99,89.81,-,11.83%
Oct 75,89.04,83.87,91.75,82.57,-,6.16%
Jul 75,88.75,95.19,96.58,87.68,-,-6.77%
Apr 75,87.30,83.36,88.79,79.66,-,4.73%
Jan 75,76.98,68.65,78.69,68.65,-,12.28%
Oct 74,73.90,63.54,75.90,60.96,-,16.30%
Jul 74,79.31,86.00,86.89,78.96,-,-7.78%
Apr 74,90.31,93.98,95.42,88.62,-,-3.91%
Jan 74,96.57,97.55,100.94,91.62,-,-1.00%
Oct 73,108.29,108.43,112.82,107.08,-,-0.13%
Jul 73,108.22,104.10,111.04,100.44,-,3.80%
Apr 73,106.97,111.52,113.65,105.44,-,-4.08%
Jan 73,116.03,118.06,121.74,114.97,-,-1.71%
Oct 72,111.58,110.55,112.26,106.27,-,0.93%
Jul 72,107.39,107.14,110.27,104.43,-,0.23%
Apr 72,107.67,107.20,111.11,106.18,-,0.44%
Jan 72,103.94,102.09,105.00,100.87,-,1.81%
Oct 71,94.23,98.34,100.96,92.96,-,-4.18%
Jul 71,95.58,99.16,101.52,95.08,-,-3.16%
Apr 71,103.95,100.31,105.60,99.63,-,3.63%
Jan 71,95.88,92.15,96.49,90.64,-,4.05%
Oct 70,83.25,84.30,87.75,82.29,-,-1.25%
Jul 70,78.05,78.07,79.03,70.69,-,7.33%
Apr 70,81.52,89.63,90.70,79.31,-,-9.05%
